node,new_score,original_score,diff(new-origin)
anon_S5583E,888.35,594,294.35
anon_S1763E,620,681,-61
anon_S2679E,531.28,673,-141.72
anon_S3047E,730.4,493,237.4
anon_S627E,690,690,0
anon_S3473E,601,546,55
anon_S643E,498,498,0
anon_S120E,-1,-1,na
anon_S833E,507,507,0
anon_S5823E,899.79,553,346.79
anon_S2332E,647,541,106
anon_S38E,726.71,740,-13.29
anon_S5021E,-1,-1,na
anon_S3883E,849.83,600,249.83
anon_S3387E,593,521,72
anon_S3782E,636,501,135
anon_S1794E,440,582,-142
anon_S4404E,769.9,590,179.9
anon_S6126E,-1,-1,na
anon_S3528E,577,577,0
anon_S65E,727.8,492,235.8
anon_S4391E,481,481,0
anon_S649E,605,605,0
anon_S3415E,608,442,166
anon_S4669E,585,585,0
anon_S5656E,638,638,0
anon_S1144E,-1,-1,na
anon_S2521E,742.92,524,218.92
anon_S656E,592,592,0
anon_S4299E,601,631,-30
anon_S1302E,499,499,0
anon_S4761E,737.54,576,161.54
anon_S2305E,849.65,583,266.65
anon_S1433E,-1,-1,na
anon_S2128E,761,651,110
anon_S6E,378,643,-265
anon_S5357E,-1,-1,na
anon_S884E,736,736,0
anon_S859E,624,624,0
anon_S1109E,-1,-1,na
anon_S4487E,657.8,452,205.8
anon_S1691E,891.96,546,345.96
anon_S4059E,565,565,0
anon_S5227E,509,509,0
anon_S2403E,726.45,443,283.45
anon_S2006E,723,629,94
anon_S4519E,491,491,0
anon_S4175E,499,499,0
anon_S2827E,657.8,454,203.8
anon_S6088E,744.89,660,84.89
anon_S3170E,896.39,519,377.39
anon_S942E,640,640,0
anon_S3546E,583,583,0
anon_S1172E,451,451,0
anon_S1189E,667,667,0
anon_S4916E,742.4,522,220.4
anon_S5468E,735.7,524,211.7
anon_S6074E,899.94,824,75.94
anon_S3176E,610,564,46
anon_S5948E,535,535,0
anon_S2341E,649,583,66
anon_S1782E,898.14,507,391.14
anon_S4361E,555,555,0
anon_S2930E,845.41,421,424.41
anon_S2616E,744,470,274
anon_S5533E,480,480,0
anon_S2268E,620,597,23
anon_S500E,867.34,724,143.34
anon_S3616E,845.41,653,192.41
anon_S5882E,549,549,0
anon_S4406E,657.8,611,46.8
anon_S2721E,593,580,13
anon_S2326E,677,710,-33
anon_S2990E,602,-1,na
anon_S1713E,695,543,152
anon_S4561E,-1,-1,na
anon_S5933E,572,572,0
