node,new_score,original_score,diff
anon_S5797,646.7891189,768,-121.2108811
anon_S3311,515.118658,636,-120.881342
anon_S76,622.4384012,743,-120.5615988
anon_S5009,516.6083799,637,-120.3916201
anon_S4127,459.6139305,580,-120.3860695
anon_S4083,633.663152,754,-120.336848
anon_S32,663.752785,784,-120.247215
anon_S3279,634.7700684,755,-120.2299316
anon_S4819,513.8463748,634,-120.1536252
anon_S201,551.0559943,671,-119.9440057
anon_S4337,541.1914894,661,-119.8085106
anon_S42,660.1977334,780,-119.8022666
anon_S296,590.2828535,710,-119.7171465
anon_S2262,622.8146496,742,-119.1853504
anon_S1186,588.8858032,708,-119.1141968
anon_S3368,438.1236541,557,-118.8763459
anon_S180,630.6238082,749,-118.3761918
anon_S1371,459.6260633,578,-118.3739367
anon_S1452,622.8143832,741,-118.1856168
anon_S732,632.000529,750,-117.999471
anon_S260,597.1004833,715,-117.8995167
anon_S4076,595.430156,713,-117.569844
anon_S1375,459.6255675,577,-117.3744325
anon_S1766,611.7610688,729,-117.2389312
anon_S857,622.8161324,740,-117.1838676
anon_S310,633.9124956,751,-117.0875044
anon_S5899,593.9688701,711,-117.0311299
anon_S4573,600.1555585,717,-116.8444415
anon_S4068,538.4536993,655,-116.5463007
anon_S4566,542.5216664,659,-116.4783336
anon_S5557,549.5323559,666,-116.4676441
anon_S144,561.7829976,678,-116.2170024
anon_S1477,622.8093057,739,-116.1906943
anon_S5400,508.9786843,625,-116.0213157
anon_S4070,568.0868528,684,-115.9131472
anon_S1411,459.6255861,575,-115.3744139
anon_S2343,650.8897675,766,-115.1102325
anon_S4134,629.0845709,744,-114.9154291
anon_S5065,600.179195,715,-114.820805
anon_S4352,541.2978723,656,-114.7021277
anon_S5656,523.3254798,638,-114.6745202
anon_S282,645.4477637,760,-114.5522363
anon_S1476,618.5957748,733,-114.4042252
anon_S1388,459.6262128,574,-114.3737872
anon_S94,595.656192,710,-114.343808
anon_S2163,520.806686,635,-114.193314
anon_S1893,622.8143599,737,-114.1856401
anon_S2149,529.2440682,643,-113.7559318
anon_S2770,544.3285832,658,-113.6714168
anon_S3864,642.3845917,756,-113.6154083
anon_S3137,568.0331193,681,-112.9668807
anon_S5968,544.1239395,657,-112.8760605
anon_S5854,561.6889071,674,-112.3110929
anon_S4855,477.7977897,590,-112.2022103
anon_S1181,553.0384615,665,-111.9615385
anon_S3937,501.1089569,613,-111.8910431
anon_S5344,517.5689,629,-111.4311
anon_S5707,500.8625915,612,-111.1374085
anon_S4240,501.1062053,612,-110.8937947
anon_S4319,602.1172483,713,-110.8827517
anon_S4581,535.2347858,646,-110.7652142
anon_S2143,551.3569993,662,-110.6430007
anon_S1364,459.6200726,570,-110.3799274
anon_S4268,566.7143076,677,-110.2856924
anon_S92,595.7334184,706,-110.2665816
anon_S1189,557,667,-110
anon_S1152,629.2151199,739,-109.7848801
anon_S48,662.4196271,772,-109.5803729
anon_S5942,523.6307377,633,-109.3692623
anon_S71,639.7366793,749,-109.2633207
anon_S2653,634.7879519,744,-109.2120481
anon_S4155,595.0566173,704,-108.9433827
anon_S1438,380.895793,489,-108.104207
anon_S4090,654.0452222,762,-107.9547778
anon_S5115,519.2648447,627,-107.7351553
anon_S3224,634.6686125,742,-107.3313875
anon_S5076,581.7812094,689,-107.2187906
anon_S4578,516.8445872,624,-107.1554128
anon_S4618,581.8902098,689,-107.1097902
anon_S3710,629.2749647,736,-106.7250353
anon_S1104,559.3145372,666,-106.6854628
anon_S3416,578.530834,685,-106.469166
anon_S291,571.5867627,678,-106.4132373
anon_S5739,646.8118888,753,-106.1881112
anon_S4597,581.8524579,688,-106.1475421
